"[BRWN, PARA#13855, SENT#3]","I don't mean a few aesthetes who play about with sensations , like a young prince in a miniature dabbling his hand in a pool .",1,1,1,
"[BRWN, PARA#6643, SENT#2]","I don't mean a few aesthetes who play about with sensations , like a young prince in a miniature dabbling his hand in a pool .",1,1,1,
"[BRWN, PARA#11103, SENT#1]","I don't mean a few aesthetes who play about with sensations , like a young prince in a miniature dabbling his hand in a pool .",1,1,1,
"[BRWN, PARA#7932, SENT#4]","I don't mean a few aesthetes who play about with sensations , like a young prince in a miniature dabbling his hand in a pool .",1,2,2,
"[BRWN, PARA#10745, SENT#1]","I don't mean a few aesthetes who play about with sensations , like a young prince in a miniature dabbling his hand in a pool .",1,1,1,
"[BRWN, PARA#10432, SENT#2]","I don't mean a few aesthetes who play about with sensations , like a young prince in a miniature dabbling his hand in a pool .",3,1,1,
"[BRWN, PARA#15342, SENT#3]","I don't mean a few aesthetes who play about with sensations , like a young prince in a miniature dabbling his hand in a pool .",1,1,1,
"[BRWN, PARA#10442, SENT#25]","I don't mean a few aesthetes who play about with sensations , like a young prince in a miniature dabbling his hand in a pool .",3,1,1,
"[BRWN, PARA#4440, SENT#1]","I don't mean a few aesthetes who play about with sensations , like a young prince in a miniature dabbling his hand in a pool .",1,1,1,
"[BRWN, PARA#14598, SENT#3]","I don't mean a few aesthetes who play about with sensations , like a young prince in a miniature dabbling his hand in a pool .",1,2,1,
"[BRWN, PARA#12957, SENT#3]","I don't mean a few aesthetes who play about with sensations , like a young prince in a miniature dabbling his hand in a pool .",1,2,1,
"[BRWN, PARA#10517, SENT#7]","I don't mean a few aesthetes who play about with sensations , like a young prince in a miniature dabbling his hand in a pool .",1,1,1,
"[BRWN, PARA#13928, SENT#1]","I don't mean a few aesthetes who play about with sensations , like a young prince in a miniature dabbling his hand in a pool .",1,3,1,
"[BRWN, PARA#14854, SENT#3]","I don't mean a few aesthetes who play about with sensations , like a young prince in a miniature dabbling his hand in a pool .",1,1,1,
"[BRWN, PARA#4370, SENT#2]","I don't mean a few aesthetes who play about with sensations , like a young prince in a miniature dabbling his hand in a pool .",1,2,2,
